Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
0,23,6,24,3,0,21,6,1,no
2,25,11,15,2,2,30,4,2,yes
2,28,9,15,10,19,20,9,1,yes
0,27,11,26,2,10,39,5,2,no
3,29,13,32,4,8,24,10,6,yes
0,33,6,21,7,15,14,23,5,no
3,24,16,17,6,3,14,5,1,yes
0,33,10,23,8,8,11,6,3,no
3,23,10,34,4,10,24,13,9,no
4,21,12,28,4,9,21,8,9,yes
4,36,24,56,20,14,20,26,8,yes
0,54,14,66,16,40,32,22,2,no
2,33,12,33,8,4,13,13,2,yes
2,19,16,27,10,9,28,10,2,no
2,22,13,31,5,3,35,8,4,yes
0,41,8,32,9,3,39,8,5,no
5,27,9,33,0,12,14,7,6,no
5,17,16,27,5,13,13,6,5,no
2,30,13,33,2,5,31,9,1,yes
0,20,14,27,1,11,16,9,4,no
4,26,14,29,5,4,30,14,4,no
4,32,10,22,6,4,30,14,4,no
4,24,18,26,8,3,28,16,2,yes
3,28,15,35,8,9,19,13,3,no
3,23,16,18,5,10,20,12,7,no
4,34,8,34,7,5,24,14,5,yes
2,18,4,21,3,12,23,12,4,yes
0,29,10,29,2,14,29,8,1,no
0,19,11,18,9,12,29,7,5,no
0,36,11,26,13,16,14,15,3,yes
3,25,15,28,1,5,31,15,3,no
2,24,17,35,9,6,26,12,3,no
2,34,14,22,4,4,24,11,1,no
6,27,7,22,4,13,26,6,2,yes
2,25,16,21,8,4,21,17,3,no
3,30,6,34,8,6,22,14,4,yes
1,30,7,31,2,0,10,11,6,no
2,18,13,28,0,1,17,7,6,yes
2,35,6,34,5,10,29,5,1,no
2,32,9,25,5,8,29,15,2,yes
1,21,13,13,6,3,14,8,2,yes
0,25,13,28,2,8,25,13,0,no
2,33,12,23,0,2,12,13,4,no
3,25,9,29,4,8,15,12,4,yes
1,27,10,28,5,11,25,12,0,no
6,23,17,24,12,17,21,11,0,yes
3,16,11,20,1,13,19,12,5,no
5,24,8,31,4,8,14,15,3,yes
2,29,19,28,7,2,16,7,4,yes
0,31,15,20,6,4,17,16,4,no
3,22,9,30,5,4,23,21,4,yes
0,15,11,24,6,7,26,9,5,no
3,36,7,34,4,9,11,8,2,yes
0,21,12,22,6,7,13,12,3,no
2,30,12,31,2,10,25,17,5,no
6,28,14,30,6,3,32,15,4,yes
0,22,10,27,3,4,11,7,3,no
3,27,14,24,6,7,10,20,3,yes
5,20,15,23,7,16,12,10,2,yes
1,20,5,31,6,7,25,17,2,no
2,24,15,35,8,5,15,11,3,no
2,16,17,25,11,7,18,8,5,yes
4,19,12,28,7,2,15,9,3,yes
2,20,11,28,5,13,8,10,2,no
3,23,17,24,2,6,22,14,1,yes
3,19,15,26,3,5,27,11,5,no
0,17,6,23,0,2,21,5,3,no
5,15,12,17,2,0,21,5,7,yes
3,26,6,33,6,5,15,7,4,no
2,27,7,31,7,8,23,8,3,no
5,27,18,27,7,7,31,7,1,yes
2,32,7,19,8,13,32,11,1,no
1,28,17,26,6,10,15,4,4,no
2,29,8,26,5,9,11,7,3,yes
